Source,Target,Export
India,United Arab Emirates,29010310000
India,China,16397290000
India,Singapore,10428270000
India,Germany,8972850000
India,Bangladesh,8826530000
India,Netherlands,8653980000
India,Nepal,7343390000
India,Belgium,6816820000
India,Vietnam,6710270000
India,Malaysia,6516800000
India,Italy,5533990000
India,Saudi Arabia,5505880000
India,Turkey,5358770000
