"","Country","Export","Year","import","Net","Region","shape"
"1324","Liberia",0,"1960",0,0,"Sub-Saharan Africa","Other"
"1341","Libya",0,"1960",0,0,"Middle East & North Africa","Other"
"1358","Sri Lanka",422303067.2,"1960",464026785.7,-41723718.5,"South Asia","Other"
"1375","Lesotho",4059918.802,"1960",13299734.01,-9239815.208,"Sub-Saharan Africa","Other"
"1392","Lithuania",0,"1960",0,0,"Europe & Central Asia","Other"
"1409","Luxembourg",624460982.3,"1960",485968696.5,138492285.8,"Europe & Central Asia","Other"
"1426","Latvia",0,"1960",0,0,"Europe & Central Asia","Other"
"1443","Morocco",480189724.3,"1960",462404900.7,17784823.6,"Middle East & North Africa","Other"
"1460","Moldova",0,"1960",0,0,"Europe & Central Asia","Other"
"1477","Madagascar",67511336.64,"1960",111896638.8,-44385302.16,"Sub-Saharan Africa","Other"
"1494","Maldives",0,"1960",0,0,"South Asia","Other"
"1511","Mexico",1109120000,"1960",1520944000,-411824000,"Latin America & Caribbean","Other"
"1528","Marshall Islands",0,"1960",0,0,"East Asia & Pacific","Other"
"1530","Mali",0,"1960",0,0,"Sub-Saharan Africa","Other"
"1547","Malta",0,"1960",0,0,"Middle East & North Africa","Other"
"1563","Myanmar",0,"1960",0,0,"East Asia & Pacific","Other"
"1580","Montenegro",0,"1960",0,0,"Europe & Central Asia","Other"
"1597","Mongolia",0,"1960",0,0,"East Asia & Pacific","Other"
"1614","Mozambique",0,"1960",0,0,"Sub-Saharan Africa","Other"
"1631","Mauritania",14135559.15,"1960",21292359.55,-7156800.4,"Sub-Saharan Africa","Other"
"1648","Mauritius",0,"1960",0,0,"Sub-Saharan Africa","Other"
"1665","Malawi",35979280.41,"1960",62578748.43,-26599468.02,"Sub-Saharan Africa","Other"
"1682","Malaysia",1235091467,"1960",938377727.7,296713739.3,"East Asia & Pacific","Other"
"1699","Namibia",0,"1960",0,0,"Sub-Saharan Africa","Other"
"1716","Niger",31918254.3,"1960",33289006.81,-1370752.51,"Sub-Saharan Africa","Other"
"1733","Nigeria",387783144.3,"1960",710187876.2,-322404731.9,"Sub-Saharan Africa","Other"
"1750","Nicaragua",52948278.33,"1960",58580562.48,-5632284.15,"Latin America & Caribbean","Other"
"1767","Netherlands",6002580391,"1960",5769273577,233306814,"Europe & Central Asia","Other"
"1784","Norway",1872051411,"1960",1928412857,-56361446,"Europe & Central Asia","Other"
"1801","Nepal",0,"1960",0,0,"South Asia","Other"
"1818","New Zealand",0,"1960",0,0,"East Asia & Pacific","Other"
"1835","Oman",0,"1960",0,0,"Middle East & North Africa","Other"
"1852","Pakistan",0,"1960",0,0,"South Asia","Other"
"1869","Panama",245950200,"1960",292100100,-46149900,"Latin America & Caribbean","Other"
"1886","Peru",519800925.4,"1960",521341086.3,-1540160.90000004,"Latin America & Caribbean","Other"
"1903","Philippines",798628848.6,"1960",767064548.1,31564300.5,"East Asia & Pacific","Other"
"1920","Palau",0,"1960",0,0,"East Asia & Pacific","Other"
"1923","Papua New Guinea",0,"1960",0,0,"East Asia & Pacific","Other"
"1940","Poland",0,"1960",0,0,"Europe & Central Asia","Other"
"1957","Portugal",456718078.5,"1960",612286341.2,-155568262.7,"Europe & Central Asia","Other"
"1974","Paraguay",0,"1960",0,0,"Latin America & Caribbean","Other"
"1991","Qatar",0,"1960",0,0,"Middle East & North Africa","Other"
"2008","Romania",0,"1960",0,0,"Europe & Central Asia","Other"
"2025","Russia",0,"1960",0,0,"Europe & Central Asia","Target"
"2042","Rwanda",14800000,"1960",1.2e+07,2800000,"Sub-Saharan Africa","Other"
"2059","Saudi Arabia",0,"1960",0,0,"Middle East & North Africa","Other"
"2076","Sudan",190333333.3,"1960",1.7e+08,20333333.3,"Sub-Saharan Africa","Other"
"2093","Senegal",168550127.9,"1960",143493527.3,25056600.6,"Sub-Saharan Africa","Other"
"2110","Singapore",1147523847,"1960",1243760617,-96236770,"East Asia & Pacific","Other"
"2127","Solomon Islands",0,"1960",0,0,"East Asia & Pacific","Other"
"2144","Sierra Leone",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2161","El Salvador",0,"1960",0,0,"Latin America & Caribbean","Other"
"2178","San Marino",0,"1960",0,0,"Europe & Central Asia","Other"
"2194","Somalia",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2201","Serbia",0,"1960",0,0,"Europe & Central Asia","Other"
"2214","South Sudan",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2215","Sao Tome and Principe",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2232","Suriname",0,"1960",0,0,"Latin America & Caribbean","Other"
"2249","Slovenia",0,"1960",0,0,"Europe & Central Asia","Other"
"2266","Sweden",3415028157,"1960",3478162823,-63134666,"Europe & Central Asia","Other"
"2283","Seychelles",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2294","Chad",41987616.15,"1960",53426872.42,-11439256.27,"Sub-Saharan Africa","Other"
"2311","Togo",37708626.31,"1960",38214643.77,-506017.460000001,"Sub-Saharan Africa","Other"
"2328","Thailand",445712828.9,"1960",480790112.3,-35077283.4,"East Asia & Pacific","Other"
"2345","Tajikistan",0,"1960",0,0,"Europe & Central Asia","Other"
"2362","Turkmenistan",0,"1960",0,0,"Europe & Central Asia","Other"
"2379","Timor-Leste",0,"1960",0,0,"East Asia & Pacific","Other"
"2391","Tonga",0,"1960",0,0,"East Asia & Pacific","Other"
"2408","Tunisia",0,"1960",0,0,"Middle East & North Africa","Other"
"2425","Turkey",287710645.3,"1960",513769009.5,-226058364.2,"Europe & Central Asia","Other"
"2442","Tanzania",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2459","Uganda",115605870,"1960",92285115.3,23320754.7,"Sub-Saharan Africa","Other"
"2476","Ukraine",0,"1960",0,0,"Europe & Central Asia","Other"
"2493","Uruguay",171350239.9,"1960",231322823.9,-59972584,"Latin America & Caribbean","Other"
"2510","Uzbekistan",0,"1960",0,0,"Europe & Central Asia","Other"
"2527","Vietnam",0,"1960",0,0,"East Asia & Pacific","Other"
"2544","Vanuatu",0,"1960",0,0,"East Asia & Pacific","Other"
"2561","Samoa",0,"1960",0,0,"East Asia & Pacific","Other"
"2578","South Africa",2238555229,"1960",1860562789,377992440,"Sub-Saharan Africa","Other"
"2595","Zambia",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2612","Zimbabwe",0,"1960",0,0,"Sub-Saharan Africa","Other"
"2619","Afghanistan",24444455.56,"1961",44444446.67,-19999991.11,"South Asia","Other"
"2629","Angola",0,"1961",0,0,"Sub-Saharan Africa","Other"
"2646","Albania",0,"1961",0,0,"Europe & Central Asia","Other"
"2663","United Arab Emirates",0,"1961",0,0,"Middle East & North Africa","Other"
"2680","Argentina",0,"1961",0,0,"Latin America & Caribbean","Other"
"2697","Armenia",0,"1961",0,0,"Europe & Central Asia","Other"
"2714","Australia",2437003024,"1961",2952178295,-515175271,"East Asia & Pacific","Other"
"2731","Austria",1682092117,"1961",1601412625,80679492,"Europe & Central Asia","Other"
"2748","Azerbaijan",0,"1961",0,0,"Europe & Central Asia","Other"
"2765","Burundi",26250000,"1961",29750000,-3500000,"Sub-Saharan Africa","Other"
"2782","Belgium",4837690321,"1961",4935914686,-98224365,"Europe & Central Asia","Other"
"2799","Benin",10801828.34,"1961",22470098.07,-11668269.73,"Sub-Saharan Africa","Other"
"2816","Burkina Faso",19014523.36,"1961",55303956.09,-36289432.73,"Sub-Saharan Africa","Other"
"2833","Bangladesh",519448521,"1961",563656831.8,-44208310.8,"South Asia","Other"
"2850","Bulgaria",0,"1961",0,0,"Europe & Central Asia","Other"
"2867","Bahrain",0,"1961",0,0,"Middle East & North Africa","Other"
"2884","Bosnia and Herzegovina",0,"1961",0,0,"Europe & Central Asia","Other"
"2901","Belarus",0,"1961",0,0,"Europe & Central Asia","Other"
"2918","Belize",0,"1961",0,0,"Latin America & Caribbean","Other"
"2935","Bolivia",66695604.27,"1961",94909764.77,-28214160.5,"Latin America & Caribbean","Other"
"2952","Brazil",1109152823,"1961",1118302726,-9149903,"Latin America & Caribbean","Target"
"2969","Barbados",0,"1961",0,0,"Latin America & Caribbean","Other"
"2986","Bhutan",0,"1961",0,0,"South Asia","Other"
"3003","Botswana",8954806.212,"1961",13991884.71,-5037078.498,"Sub-Saharan Africa","Other"
"3020","Central African Republic",32618432.43,"1961",44034883.78,-11416451.35,"Sub-Saharan Africa","Other"
"3037","Canada",7237503017,"1961",7359338827,-121835810,"North America","Other"
"3054","Switzerland",2912465341,"1961",3068472925,-156007584,"Europe & Central Asia","Other"
"3071","Chile",525717060.8,"1961",715645411.3,-189928350.5,"Latin America & Caribbean","Other"
