"","Country","Export","Year","import","Net","Region","shape"
"693","Ecuador",197583745.9,1960,214480876.3,-16897130.4,"Latin America & Caribbean","Other"
"710","Eritrea",0,1960,0,0,"Sub-Saharan Africa","Other"
"727","Spain",1010042253,1960,833136311.9,176905941.1,"Europe & Central Asia","Other"
"744","Estonia",0,1960,0,0,"Europe & Central Asia","Other"
"761","Ethiopia",0,1960,0,0,"Sub-Saharan Africa","Other"
"778","Finland",1102793135,1960,1161879537,-59086402,"Europe & Central Asia","Other"
"795","Fiji",42815766.28,1960,44830625.87,-2014859.59,"East Asia & Pacific","Other"
"812","France",9019483362,1960,7874771893,1144711469,"Europe & Central Asia","Other"
"829","Gabon",48341345.45,1960,46157379.72,2183965.73,"Sub-Saharan Africa","Other"
"846","Georgia",0,1960,0,0,"Europe & Central Asia","Other"
"862","Ghana",343177628.7,1960,431423304.7,-88245676,"Sub-Saharan Africa","Other"
"879","Guinea",0,1960,0,0,"Sub-Saharan Africa","Other"
"896","Guinea-Bissau",0,1960,0,0,"Sub-Saharan Africa","Other"
"913","Equatorial Guinea",0,1960,0,0,"Sub-Saharan Africa","Other"
"930","Greece",378479573.6,1960,718524774.9,-340045201.3,"Europe & Central Asia","Other"
"947","Grenada",0,1960,0,0,"Latin America & Caribbean","Other"
"964","Guatemala",131900000,1960,151700000,-19800000,"Latin America & Caribbean","Other"
"981","Guyana",82949308.76,1960,96949192.09,-13999883.33,"Latin America & Caribbean","Other"
"998","Honduras",71800000,1960,77300000,-5500000,"Latin America & Caribbean","Other"
"1015","Croatia",0,1960,0,0,"Europe & Central Asia","Other"
"1032","Haiti",0,1960,0,0,"Latin America & Caribbean","Other"
"1049","Hungary",0,1960,0,0,"Europe & Central Asia","Other"
"1066","Indonesia",0,1960,0,0,"East Asia & Pacific","Other"
"1083","India",1652701653,1960,2530502531,-877800878,"South Asia","Target"
"1100","Ireland",572620663,1960,684067693.3,-111447030.3,"Europe & Central Asia","Other"
"1117","Iraq",0,1960,0,0,"Middle East & North Africa","Other"
"1133","Iceland",102559674.8,1960,113169796,-10610121.2,"Europe & Central Asia","Other"
"1150","Israel",309500000,1960,2.89e+08,20500000,"Middle East & North Africa","Other"
"1167","Italy",5047144628,1960,5194804038,-147659410,"Europe & Central Asia","Other"
"1184","Jamaica",232379252.4,1960,265994680.1,-33615427.7,"Latin America & Caribbean","Other"
"1201","Jordan",0,1960,0,0,"Middle East & North Africa","Other"
"1218","Japan",4751050160,1960,4558321892,192728268,"East Asia & Pacific","Other"
"1234","Kazakhstan",0,1960,0,0,"Europe & Central Asia","Other"
"1251","Kenya",246049901.4,1960,266419907.2,-20370005.8,"Sub-Saharan Africa","Other"
"1268","Cambodia",88571428.57,1960,139999991.4,-51428562.83,"East Asia & Pacific","Other"
"1285","Kiribati",0,1960,0,0,"East Asia & Pacific","Other"
"1290","Kuwait",0,1960,0,0,"Middle East & North Africa","Other"
"1307","Lebanon",0,1960,0,0,"Middle East & North Africa","Other"
"1324","Liberia",0,1960,0,0,"Sub-Saharan Africa","Other"
"1341","Libya",0,1960,0,0,"Middle East & North Africa","Other"
"1358","Sri Lanka",422303067.2,1960,464026785.7,-41723718.5,"South Asia","Other"
"1375","Lesotho",4059918.802,1960,13299734.01,-9239815.208,"Sub-Saharan Africa","Other"
"1392","Lithuania",0,1960,0,0,"Europe & Central Asia","Other"
"1409","Luxembourg",624460982.3,1960,485968696.5,138492285.8,"Europe & Central Asia","Other"
"1426","Latvia",0,1960,0,0,"Europe & Central Asia","Other"
"1443","Morocco",480189724.3,1960,462404900.7,17784823.6,"Middle East & North Africa","Other"
"1460","Moldova",0,1960,0,0,"Europe & Central Asia","Other"
"1477","Madagascar",67511336.64,1960,111896638.8,-44385302.16,"Sub-Saharan Africa","Other"
"1494","Maldives",0,1960,0,0,"South Asia","Other"
"1511","Mexico",1109120000,1960,1520944000,-411824000,"Latin America & Caribbean","Other"
"1528","Marshall Islands",0,1960,0,0,"East Asia & Pacific","Other"
"1530","Mali",0,1960,0,0,"Sub-Saharan Africa","Other"
"1547","Malta",0,1960,0,0,"Middle East & North Africa","Other"
"1563","Myanmar",0,1960,0,0,"East Asia & Pacific","Other"
"1580","Montenegro",0,1960,0,0,"Europe & Central Asia","Other"
"1597","Mongolia",0,1960,0,0,"East Asia & Pacific","Other"
"1614","Mozambique",0,1960,0,0,"Sub-Saharan Africa","Other"
"1631","Mauritania",14135559.15,1960,21292359.55,-7156800.4,"Sub-Saharan Africa","Other"
"1648","Mauritius",0,1960,0,0,"Sub-Saharan Africa","Other"
"1665","Malawi",35979280.41,1960,62578748.43,-26599468.02,"Sub-Saharan Africa","Other"
"1682","Malaysia",1235091467,1960,938377727.7,296713739.3,"East Asia & Pacific","Other"
"1699","Namibia",0,1960,0,0,"Sub-Saharan Africa","Other"
"1716","Niger",31918254.3,1960,33289006.81,-1370752.51,"Sub-Saharan Africa","Other"
"1733","Nigeria",387783144.3,1960,710187876.2,-322404731.9,"Sub-Saharan Africa","Other"
"1750","Nicaragua",52948278.33,1960,58580562.48,-5632284.15,"Latin America & Caribbean","Other"
"1767","Netherlands",6002580391,1960,5769273577,233306814,"Europe & Central Asia","Other"
"1784","Norway",1872051411,1960,1928412857,-56361446,"Europe & Central Asia","Other"
"1801","Nepal",0,1960,0,0,"South Asia","Other"
"1818","New Zealand",0,1960,0,0,"East Asia & Pacific","Other"
"1835","Oman",0,1960,0,0,"Middle East & North Africa","Other"
"1852","Pakistan",0,1960,0,0,"South Asia","Other"
"1869","Panama",245950200,1960,292100100,-46149900,"Latin America & Caribbean","Other"
"1886","Peru",519800925.4,1960,521341086.3,-1540160.90000004,"Latin America & Caribbean","Other"
"1903","Philippines",798628848.6,1960,767064548.1,31564300.5,"East Asia & Pacific","Other"
"1920","Palau",0,1960,0,0,"East Asia & Pacific","Other"
"1923","Papua New Guinea",0,1960,0,0,"East Asia & Pacific","Other"
"1940","Poland",0,1960,0,0,"Europe & Central Asia","Other"
"1957","Portugal",456718078.5,1960,612286341.2,-155568262.7,"Europe & Central Asia","Other"
"1974","Paraguay",0,1960,0,0,"Latin America & Caribbean","Other"
"1991","Qatar",0,1960,0,0,"Middle East & North Africa","Other"
"2008","Romania",0,1960,0,0,"Europe & Central Asia","Other"
"2025","Rwanda",14800000,1960,1.2e+07,2800000,"Sub-Saharan Africa","Other"
"2042","Saudi Arabia",0,1960,0,0,"Middle East & North Africa","Other"
"2059","Sudan",190333333.3,1960,1.7e+08,20333333.3,"Sub-Saharan Africa","Other"
"2076","Senegal",168550127.9,1960,143493527.3,25056600.6,"Sub-Saharan Africa","Other"
"2093","Singapore",1147523847,1960,1243760617,-96236770,"East Asia & Pacific","Other"
"2110","Solomon Islands",0,1960,0,0,"East Asia & Pacific","Other"
"2127","Sierra Leone",0,1960,0,0,"Sub-Saharan Africa","Other"
"2144","El Salvador",0,1960,0,0,"Latin America & Caribbean","Other"
"2161","San Marino",0,1960,0,0,"Europe & Central Asia","Other"
"2177","Somalia",0,1960,0,0,"Sub-Saharan Africa","Other"
"2184","Serbia",0,1960,0,0,"Europe & Central Asia","Other"
"2197","South Sudan",0,1960,0,0,"Sub-Saharan Africa","Other"
"2198","Sao Tome and Principe",0,1960,0,0,"Sub-Saharan Africa","Other"
"2215","Suriname",0,1960,0,0,"Latin America & Caribbean","Other"
"2232","Slovenia",0,1960,0,0,"Europe & Central Asia","Other"
"2249","Sweden",3415028157,1960,3478162823,-63134666,"Europe & Central Asia","Other"
"2266","Seychelles",0,1960,0,0,"Sub-Saharan Africa","Other"
"2277","Chad",41987616.15,1960,53426872.42,-11439256.27,"Sub-Saharan Africa","Other"
"2294","Togo",37708626.31,1960,38214643.77,-506017.460000001,"Sub-Saharan Africa","Other"
"2311","Thailand",445712828.9,1960,480790112.3,-35077283.4,"East Asia & Pacific","Other"
"2328","Tajikistan",0,1960,0,0,"Europe & Central Asia","Other"
"2345","Turkmenistan",0,1960,0,0,"Europe & Central Asia","Other"
"2362","Timor-Leste",0,1960,0,0,"East Asia & Pacific","Other"
"2374","Tonga",0,1960,0,0,"East Asia & Pacific","Other"
"2391","Tunisia",0,1960,0,0,"Middle East & North Africa","Other"
"2408","Turkey",287710645.3,1960,513769009.5,-226058364.2,"Europe & Central Asia","Other"
"2425","Tanzania",0,1960,0,0,"Sub-Saharan Africa","Other"
"2442","Uganda",115605870,1960,92285115.3,23320754.7,"Sub-Saharan Africa","Other"
"2459","Ukraine",0,1960,0,0,"Europe & Central Asia","Other"
"2476","Uruguay",171350239.9,1960,231322823.9,-59972584,"Latin America & Caribbean","Other"
"2493","Uzbekistan",0,1960,0,0,"Europe & Central Asia","Other"
"2510","Vietnam",0,1960,0,0,"East Asia & Pacific","Other"
"2527","Vanuatu",0,1960,0,0,"East Asia & Pacific","Other"
"2544","Samoa",0,1960,0,0,"East Asia & Pacific","Other"
"2561","South Africa",2238555229,1960,1860562789,377992440,"Sub-Saharan Africa","Other"
"2578","Zambia",0,1960,0,0,"Sub-Saharan Africa","Other"
"2595","Zimbabwe",0,1960,0,0,"Sub-Saharan Africa","Other"
"2602","Afghanistan",24444455.56,1961,44444446.67,-19999991.11,"South Asia","Other"
"2612","Angola",0,1961,0,0,"Sub-Saharan Africa","Other"
"2629","Albania",0,1961,0,0,"Europe & Central Asia","Other"
"2646","United Arab Emirates",0,1961,0,0,"Middle East & North Africa","Other"
"2663","Argentina",0,1961,0,0,"Latin America & Caribbean","Other"
"2680","Armenia",0,1961,0,0,"Europe & Central Asia","Other"
"2697","Australia",2437003024,1961,2952178295,-515175271,"East Asia & Pacific","Other"
"2714","Austria",1682092117,1961,1601412625,80679492,"Europe & Central Asia","Other"
"2731","Azerbaijan",0,1961,0,0,"Europe & Central Asia","Other"
"2748","Burundi",26250000,1961,29750000,-3500000,"Sub-Saharan Africa","Other"
"2765","Belgium",4837690321,1961,4935914686,-98224365,"Europe & Central Asia","Other"
"2782","Benin",10801828.34,1961,22470098.07,-11668269.73,"Sub-Saharan Africa","Other"
"2799","Burkina Faso",19014523.36,1961,55303956.09,-36289432.73,"Sub-Saharan Africa","Other"
"2816","Bangladesh",519448521,1961,563656831.8,-44208310.8,"South Asia","Other"
"2833","Bulgaria",0,1961,0,0,"Europe & Central Asia","Other"
"2850","Bahrain",0,1961,0,0,"Middle East & North Africa","Other"
"2867","Bosnia and Herzegovina",0,1961,0,0,"Europe & Central Asia","Other"
"2884","Belarus",0,1961,0,0,"Europe & Central Asia","Other"
"2901","Belize",0,1961,0,0,"Latin America & Caribbean","Other"
"2918","Bolivia",66695604.27,1961,94909764.77,-28214160.5,"Latin America & Caribbean","Other"
"2935","Brazil",1109152823,1961,1118302726,-9149903,"Latin America & Caribbean","Target"
"2952","Barbados",0,1961,0,0,"Latin America & Caribbean","Other"
"2969","Bhutan",0,1961,0,0,"South Asia","Other"
"2986","Botswana",8954806.212,1961,13991884.71,-5037078.498,"Sub-Saharan Africa","Other"
"3003","Central African Republic",32618432.43,1961,44034883.78,-11416451.35,"Sub-Saharan Africa","Other"
"3020","Canada",7237503017,1961,7359338827,-121835810,"North America","Other"
"3037","Switzerland",2912465341,1961,3068472925,-156007584,"Europe & Central Asia","Other"
"3054","Chile",525717060.8,1961,715645411.3,-189928350.5,"Latin America & Caribbean","Other"
"3071","China",1937606629,1961,1746689414,190917215,"East Asia & Pacific","Target"
"3088","Cameroon",0,1961,0,0,"Sub-Saharan Africa","Other"
"3105","Colombia",589865537.3,1961,627934716.4,-38069179.1,"Latin America & Caribbean","Other"
"3122","Comoros",0,1961,0,0,"Sub-Saharan Africa","Other"
"3139","Costa Rica",102289846.3,1961,122861638.4,-20571792.1,"Latin America & Caribbean","Other"
"3156","Cuba",0,1961,0,0,"Latin America & Caribbean","Other"
"3173","Cyprus",0,1961,0,0,"Europe & Central Asia","Other"
"3190","Czech Republic",0,1961,0,0,"Europe & Central Asia","Other"
"3207","Germany",0,1961,0,0,"Europe & Central Asia","Other"
"3224","Djibouti",0,1961,0,0,"Middle East & North Africa","Other"
"3241","Dominica",0,1961,0,0,"Latin America & Caribbean","Other"
"3243","Denmark",2079942082,1961,2242566803,-162624721,"Europe & Central Asia","Other"
"3260","Dominican Republic",152100000,1961,106900000,45200000,"Latin America & Caribbean","Other"
"3277","Algeria",1125951671,1961,1643566052,-517614381,"Middle East & North Africa","Other"
"3294","Ecuador",157101028.7,1961,178045025.4,-20943996.7,"Latin America & Caribbean","Other"
"3311","Eritrea",0,1961,0,0,"Sub-Saharan Africa","Other"
"3328","Spain",1102919716,1961,1189957607,-87037891,"Europe & Central Asia","Other"
"3345","Estonia",0,1961,0,0,"Europe & Central Asia","Other"
"3362","Ethiopia",0,1961,0,0,"Sub-Saharan Africa","Other"
"3379","Finland",1184896765,1961,1266154794,-81258029,"Europe & Central Asia","Other"
"3396","Fiji",35889686.44,1961,47726986.53,-11837300.09,"East Asia & Pacific","Other"
"3413","France",9513310197,1961,8433174750,1080135447,"Europe & Central Asia","Other"
"3430","Gabon",52322628.98,1961,53078875.5,-756246.520000003,"Sub-Saharan Africa","Other"
"3447","Georgia",0,1961,0,0,"Europe & Central Asia","Other"
"3463","Ghana",340376178.7,1961,474845780.2,-134469601.5,"Sub-Saharan Africa","Other"
"3480","Guinea",0,1961,0,0,"Sub-Saharan Africa","Other"
"3497","Guinea-Bissau",0,1961,0,0,"Sub-Saharan Africa","Other"
"3514","Equatorial Guinea",0,1961,0,0,"Sub-Saharan Africa","Other"
"3531","Greece",434113891.9,1961,795769616.4,-361655724.5,"Europe & Central Asia","Other"
"3548","Grenada",0,1961,0,0,"Latin America & Caribbean","Other"
"3565","Guatemala",128700000,1961,145300000,-16600000,"Latin America & Caribbean","Other"
"3582","Guyana",96774193.55,1961,98465846.12,-1691652.57000001,"Latin America & Caribbean","Other"
"3599","Honduras",79500000,1961,78100000,1400000,"Latin America & Caribbean","Other"
"3616","Croatia",0,1961,0,0,"Europe & Central Asia","Other"
"3633","Haiti",0,1961,0,0,"Latin America & Caribbean","Other"
"3650","Hungary",0,1961,0,0,"Europe & Central Asia","Other"
"3667","Indonesia",0,1961,0,0,"East Asia & Pacific","Other"
"3684","India",1688401688,1961,2337302337,-648900649,"South Asia","Target"
"3701","Ireland",670336524.2,1961,786154041.5,-115817517.3,"Europe & Central Asia","Other"
"3718","Iraq",0,1961,0,0,"Middle East & North Africa","Other"
"3734","Iceland",105112729.9,1961,97194659.52,7918070.38000001,"Europe & Central Asia","Other"
"3751","Israel",3.62e+08,1961,3.52e+08,1e+07,"Middle East & North Africa","Other"
"3768","Italy",5736466839,1961,5768145481,-31678642,"Europe & Central Asia","Other"
"3785","Jamaica",249069438.6,1961,261794764.1,-12725325.5,"Latin America & Caribbean","Other"
"3802","Jordan",0,1961,0,0,"Middle East & North Africa","Other"
"3819","Japan",4964487441,1961,5833316762,-868829321,"East Asia & Pacific","Other"
"3835","Kazakhstan",0,1961,0,0,"Europe & Central Asia","Other"
"3852","Kenya",259433896,1961,246847901.1,12585994.9,"Sub-Saharan Africa","Other"
"3869","Cambodia",82857142.86,1961,1.2e+08,-37142857.14,"East Asia & Pacific","Other"
"3886","Kiribati",0,1961,0,0,"East Asia & Pacific","Other"
"3891","Kuwait",0,1961,0,0,"Middle East & North Africa","Other"
"3908","Lebanon",0,1961,0,0,"Middle East & North Africa","Other"
"3925","Liberia",0,1961,0,0,"Sub-Saharan Africa","Other"
"3942","Libya",0,1961,0,0,"Middle East & North Africa","Other"
"3959","Sri Lanka",397732379.9,1961,411422958.1,-13690578.2,"South Asia","Other"
"3976","Lesotho",4479910.402,1961,16239675.21,-11759764.808,"Sub-Saharan Africa","Other"
"3993","Lithuania",0,1961,0,0,"Europe & Central Asia","Other"
"4010","Luxembourg",626766230.1,1961,529104739,97661491.1,"Europe & Central Asia","Other"
"4027","Latvia",0,1961,0,0,"Europe & Central Asia","Other"
"4044","Morocco",440667938,1961,501926687.1,-61258749.1,"Middle East & North Africa","Other"
"4061","Moldova",0,1961,0,0,"Europe & Central Asia","Other"
"4078","Madagascar",102110849.3,1961,136359934.7,-34249085.4,"Sub-Saharan Africa","Other"
"4095","Maldives",0,1961,0,0,"South Asia","Other"
"4112","Mexico",1191208000,1961,1503120000,-311912000,"Latin America & Caribbean","Other"
"4129","Marshall Islands",0,1961,0,0,"East Asia & Pacific","Other"
"4131","Mali",0,1961,0,0,"Sub-Saharan Africa","Other"
"4148","Malta",0,1961,0,0,"Middle East & North Africa","Other"
"4164","Myanmar",0,1961,0,0,"East Asia & Pacific","Other"
"4181","Montenegro",0,1961,0,0,"Europe & Central Asia","Other"
"4198","Mongolia",0,1961,0,0,"East Asia & Pacific","Other"
"4215","Mozambique",0,1961,0,0,"Sub-Saharan Africa","Other"
"4232","Mauritania",15448148.1,1961,29136912.85,-13688764.75,"Sub-Saharan Africa","Other"
"4249","Mauritius",0,1961,0,0,"Sub-Saharan Africa","Other"
"4266","Malawi",35979280.41,1961,63138737.23,-27159456.82,"Sub-Saharan Africa","Other"
"4283","Malaysia",1116792728,1961,990528060.9,126264667.1,"East Asia & Pacific","Other"
"4300","Namibia",0,1961,0,0,"Sub-Saharan Africa","Other"
"4317","Niger",39451761.21,1961,47147122.59,-7695361.38,"Sub-Saharan Africa","Other"
"4334","Nigeria",410318073.6,1961,728148397,-317830323.4,"Sub-Saharan Africa","Other"
"4351","Nicaragua",56287344.71,1961,59056821.33,-2769476.62,"Latin America & Caribbean","Other"
"4368","Netherlands",6289121521,1961,6268747831,20373690,"Europe & Central Asia","Other"
"4385","Norway",1968595448,1961,2091459665,-122864217,"Europe & Central Asia","Other"
"4402","Nepal",0,1961,0,0,"South Asia","Other"
"4419","New Zealand",0,1961,0,0,"East Asia & Pacific","Other"
"4436","Oman",0,1961,0,0,"Middle East & North Africa","Other"
"4453","Pakistan",0,1961,0,0,"South Asia","Other"
"4470","Panama",282659200,1961,321486400,-38827200,"Latin America & Caribbean","Other"
"4487","Peru",603360551,1961,643728455.5,-40367904.5,"Latin America & Caribbean","Other"
"4504","Philippines",913828362.6,1961,1017781898,-103953535.4,"East Asia & Pacific","Other"
"4521","Palau",0,1961,0,0,"East Asia & Pacific","Other"
"4524","Papua New Guinea",39424005.64,1961,68880009.86,-29456004.22,"East Asia & Pacific","Other"
"4541","Poland",0,1961,0,0,"Europe & Central Asia","Other"
"4558","Portugal",460401266.4,1961,771698530.9,-311297264.5,"Europe & Central Asia","Other"
"4575","Paraguay",0,1961,0,0,"Latin America & Caribbean","Other"
"4592","Qatar",0,1961,0,0,"Middle East & North Africa","Other"
"4609","Romania",0,1961,0,0,"Europe & Central Asia","Other"
"4626","Rwanda",1.4e+07,1961,1.2e+07,2e+06,"Sub-Saharan Africa","Other"
"4643","Saudi Arabia",0,1961,0,0,"Middle East & North Africa","Other"
"4660","Sudan",1.89e+08,1961,203666666.7,-14666666.7,"Sub-Saharan Africa","Other"
"4677","Senegal",224220965.7,1961,198502373.9,25718591.8,"Sub-Saharan Africa","Other"
"4694","Singapore",1089017379,1961,1200313603,-111296224,"East Asia & Pacific","Other"
"4711","Solomon Islands",0,1961,0,0,"East Asia & Pacific","Other"
"4728","Sierra Leone",0,1961,0,0,"Sub-Saharan Africa","Other"
"4745","El Salvador",0,1961,0,0,"Latin America & Caribbean","Other"
"4762","San Marino",0,1961,0,0,"Europe & Central Asia","Other"
"4778","Somalia",0,1961,0,0,"Sub-Saharan Africa","Other"
"4785","Serbia",0,1961,0,0,"Europe & Central Asia","Other"
"4798","South Sudan",0,1961,0,0,"Sub-Saharan Africa","Other"
"4799","Sao Tome and Principe",0,1961,0,0,"Sub-Saharan Africa","Other"
"4816","Suriname",0,1961,0,0,"Latin America & Caribbean","Other"
"4833","Slovenia",0,1961,0,0,"Europe & Central Asia","Other"
"4850","Sweden",3607782141,1961,3502543049,105239092,"Europe & Central Asia","Other"
"4867","Seychelles",0,1961,0,0,"Sub-Saharan Africa","Other"
"4878","Chad",46459419.3,1961,61975054.64,-15515635.34,"Sub-Saharan Africa","Other"
"4895","Togo",49603527.44,1961,38204515.94,11399011.5,"Sub-Saharan Africa","Other"
"4912","Thailand",525965885.3,1961,519127759,6838126.30000001,"East Asia & Pacific","Other"
"4929","Tajikistan",0,1961,0,0,"Europe & Central Asia","Other"
"4946","Turkmenistan",0,1961,0,0,"Europe & Central Asia","Other"
"4963","Timor-Leste",0,1961,0,0,"East Asia & Pacific","Other"
"4975","Tonga",0,1961,0,0,"East Asia & Pacific","Other"
"4992","Tunisia",0,1961,0,0,"Middle East & North Africa","Other"
"5009","Turkey",411111111.1,1961,544444444.4,-133333333.3,"Europe & Central Asia","Other"
"5026","Tanzania",0,1961,0,0,"Sub-Saharan Africa","Other"
"5043","Uganda",107812369,1961,95562893.08,12249475.92,"Sub-Saharan Africa","Other"
"5060","Ukraine",0,1961,0,0,"Europe & Central Asia","Other"
"5077","Uruguay",219799542.8,1961,228591524.5,-8791981.69999999,"Latin America & Caribbean","Other"
"5094","Uzbekistan",0,1961,0,0,"Europe & Central Asia","Other"
"5111","Vietnam",0,1961,0,0,"East Asia & Pacific","Other"
"5128","Vanuatu",0,1961,0,0,"East Asia & Pacific","Other"
"5145","Samoa",0,1961,0,0,"East Asia & Pacific","Other"
"5162","South Africa",2337953241,1961,1698166037,639787204,"Sub-Saharan Africa","Other"
"5179","Zambia",0,1961,0,0,"Sub-Saharan Africa","Other"
"5196","Zimbabwe",0,1961,0,0,"Sub-Saharan Africa","Other"
"5203","Afghanistan",26666680,1962,51111111.11,-24444431.11,"South Asia","Other"
"5213","Angola",0,1962,0,0,"Sub-Saharan Africa","Other"
"5230","Albania",0,1962,0,0,"Europe & Central Asia","Other"
"5247","United Arab Emirates",0,1962,0,0,"Middle East & North Africa","Other"
"5264","Argentina",1147183934,1962,2294367227,-1147183293,"Latin America & Caribbean","Other"
"5281","Armenia",0,1962,0,0,"Europe & Central Asia","Other"
"5298","Australia",2772986897,1962,2512039422,260947475,"East Asia & Pacific","Other"
"5315","Austria",1816199712,1962,1721989636,94210076,"Europe & Central Asia","Other"
"5332","Azerbaijan",0,1962,0,0,"Europe & Central Asia","Other"
"5349","Burundi",2.8e+07,1962,3.5e+07,-7e+06,"Sub-Saharan Africa","Other"
"5366","Belgium",5381621193,1962,5383141329,-1520136,"Europe & Central Asia","Other"
"5383","Benin",8317361.995,1962,23547272.22,-15229910.225,"Sub-Saharan Africa","Other"
"5400","Burkina Faso",20997594.42,1962,59614687.01,-38617092.59,"Sub-Saharan Africa","Other"
"5417","Bangladesh",546086853.3,1962,549204082.3,-3117229,"South Asia","Other"
"5434","Bulgaria",0,1962,0,0,"Europe & Central Asia","Other"
"5451","Bahrain",0,1962,0,0,"Middle East & North Africa","Other"
"5468","Bosnia and Herzegovina",0,1962,0,0,"Europe & Central Asia","Other"
"5485","Belarus",0,1962,0,0,"Europe & Central Asia","Other"
"5502","Belize",0,1962,0,0,"Latin America & Caribbean","Other"
"5519","Bolivia",67363395.05,1962,113858328.2,-46494933.15,"Latin America & Caribbean","Other"
"5536","Brazil",770900519.7,1962,1033970196,-263069676.3,"Latin America & Caribbean","Target"
"5553","Barbados",0,1962,0,0,"Latin America & Caribbean","Other"
"5570","Bhutan",0,1962,0,0,"South Asia","Other"
"5587","Botswana",9953736.156,1962,15982055.24,-6028319.084,"Sub-Saharan Africa","Other"
"5604","Central African Republic",30610513.53,1962,46936105.26,-16325591.73,"Sub-Saharan Africa","Other"
"5621","Canada",7464915853,1962,7469254670,-4338817,"North America","Other"
"5638","Switzerland",3191279862,1962,3427708777,-236428915,"Europe & Central Asia","Other"
"5655","Chile",614812442.9,1962,693171652.5,-78359209.6,"Latin America & Caribbean","Other"
"5672","China",1913234219,1962,1372979121,540255098,"East Asia & Pacific","Target"
"5689","Cameroon",0,1962,0,0,"Sub-Saharan Africa","Other"
"5706","Colombia",605741204.4,1962,605929809.3,-188604.899999976,"Latin America & Caribbean","Other"
"5723","Comoros",0,1962,0,0,"Sub-Saharan Africa","Other"
"5740","Costa Rica",108885580.7,1962,124825190.6,-15939609.9,"Latin America & Caribbean","Other"
"5757","Cuba",0,1962,0,0,"Latin America & Caribbean","Other"
"5774","Cyprus",0,1962,0,0,"Europe & Central Asia","Other"
"5791","Czech Republic",0,1962,0,0,"Europe & Central Asia","Other"
"5808","Germany",0,1962,0,0,"Europe & Central Asia","Other"
"5825","Djibouti",0,1962,0,0,"Middle East & North Africa","Other"
"5842","Dominica",0,1962,0,0,"Latin America & Caribbean","Other"
