"","Source","Target","Export"
"1","India","United Arab Emirates",29010310000
"2","India","China",16397290000
"3","India","Singapore",10428270000
"4","India","Germany",8972850000
"5","India","Bangladesh",8826530000
"6","India","Netherlands",8653980000
"7","India","Nepal",7343390000
"8","India","Belgium",6816820000
"9","India","Vietnam",6710270000
"10","India","Malaysia",6516800000
"11","India","Italy",5533990000
"12","India","Saudi Arabia",5505880000
"13","India","Turkey",5358770000
