"","Country","Region","Year","GDP per Capita","HDI"
"102","NewZealand","East Asia & Pacific",1990,13670.20069,0.818
"103","Nicaragua","Latin America & Caribbean",1990,243.5612625,0.489
"104","Niger","Sub-Saharan Africa",1990,309.5864505,0.21
"105","Nigeria","Sub-Saharan Africa",1990,567.1859158,NA
"106","Norway","Europe & Central Asia",1990,28242.94374,0.85
"107","Oman","Middle East & North Africa",1990,6448.131243,NA
"108","Pakistan","South Asia",1990,371.5726219,0.404
"109","Panama","Latin America & Caribbean",1990,2603.781289,0.66
"110","PapuaNewGuinea","East Asia & Pacific",1990,746.5073779,0.38
"111","Paraguay","Latin America & Caribbean",1990,1379.323775,0.58
"112","Peru","Latin America & Caribbean",1990,1210.005978,0.611
"113","Philippines","East Asia & Pacific",1990,715.3105853,0.586
"114","Poland","Europe & Central Asia",1990,1731.209531,0.712
"115","Portugal","Europe & Central Asia",1990,7885.394019,0.711
"116","Qatar","Middle East & North Africa",1990,15448.66548,0.754
"117","Romania","Europe & Central Asia",1990,1680.705623,0.701
"118","RussianFederation","Europe & Central Asia",1990,3485.112306,0.734
"119","Rwanda","Sub-Saharan Africa",1990,352.4401342,0.25
"120","Samoa","East Asia & Pacific",1990,772.2070276,0.62
"121","SaoTomeandPrincipe","Sub-Saharan Africa",1990,NA,0.453
"122","SaudiArabia","Middle East & North Africa",1990,7204.728651,0.697
"123","Senegal","Sub-Saharan Africa",1990,957.8437769,0.367
"124","Serbia","Europe & Central Asia",1990,NA,0.718
"125","Seychelles","Sub-Saharan Africa",1990,5302.843727,NA
"126","SierraLeone","Sub-Saharan Africa",1990,150.6511518,0.275
"127","Singapore","East Asia & Pacific",1990,11864.28021,0.718
"128","Slovenia","Europe & Central Asia",1990,NA,0.767
"129","SolomonIslands","East Asia & Pacific",1990,970.0969308,NA
"130","SouthAfrica","Sub-Saharan Africa",1990,3076.455387,0.618
"131","Spain","Europe & Central Asia",1990,13767.38147,0.754
"132","SriLanka","South Asia",1990,463.5132257,0.625
"133","Sudan","Sub-Saharan Africa",1990,478.8012635,0.331
"134","Suriname","Latin America & Caribbean",1990,953.1943299,NA
"135","Sweden","Europe & Central Asia",1990,30162.31577,0.816
"136","Switzerland","Europe & Central Asia",1990,38428.3855,0.832
"137","SyrianArabRepublic","Middle East & North Africa",1990,988.9486722,NA
"138","Tajikistan","Europe & Central Asia",1990,497.6401257,0.623
"139","Thailand","East Asia & Pacific",1990,1508.285774,0.574
"140","Togo","Sub-Saharan Africa",1990,430.0114381,0.405
"141","Tonga","East Asia & Pacific",1990,1193.486507,0.648
"142","TrinidadandTobago","Latin America & Caribbean",1990,4147.638923,0.672
"143","Tunisia","Middle East & North Africa",1990,1492.878809,0.569
"144","Turkey","Europe & Central Asia",1990,2794.353551,0.579
"145","Turkmenistan","Europe & Central Asia",1990,865.7896521,NA
"146","Uganda","Sub-Saharan Africa",1990,246.8273307,0.311
"147","Ukraine","Europe & Central Asia",1990,1569.739433,0.705
"148","UnitedArabEmirates","Middle East & North Africa",1990,27256.29094,0.727
"149","UnitedKingdom","Europe & Central Asia",1990,19095.467,0.775
"150","UnitedStates","North America",1990,23954.47935,0.86
"151","Uruguay","Latin America & Caribbean",1990,2989.991172,0.692
"152","Uzbekistan","Europe & Central Asia",1990,651.4192061,NA
"153","Vanuatu","East Asia & Pacific",1990,1080.222889,NA
"154","Zambia","Sub-Saharan Africa",1990,409.2579854,0.401
"155","Zimbabwe","Sub-Saharan Africa",1990,862.5865882,0.491
"156","Albania","Europe & Central Asia",1991,336.5869945,0.626
"157","Algeria","Middle East & North Africa",1991,1721.578696,0.581
"158","Angola","Sub-Saharan Africa",1991,844.6911343,NA
"159","AntiguaandBarbuda","Latin America & Caribbean",1991,7156.853555,NA
"160","Argentina","Latin America & Caribbean",1991,5715.504397,0.713
"161","Armenia","Europe & Central Asia",1991,590.1222257,0.628
"162","Australia","East Asia & Pacific",1991,18824.2474,0.867
"163","Austria","Europe & Central Asia",1991,22410.91174,0.8
"164","Azerbaijan","Europe & Central Asia",1991,1131.397355,NA
"165","Bahrain","Middle East & North Africa",1991,9055.591114,0.752
"166","Bangladesh","South Asia",1991,284.7256059,0.394
"167","Barbados","Latin America & Caribbean",1991,7681.981933,0.718
"168","Belarus","Europe & Central Asia",1991,1765.744556,NA
"169","Belgium","Europe & Central Asia",1991,21154.29184,0.81
"170","Belize","Latin America & Caribbean",1991,2326.845903,0.651
"171","Benin","Sub-Saharan Africa",1991,385.753616,0.354
"172","Bhutan","South Asia",1991,465.3885839,NA
"173","BosniaandHerzegovina","Europe & Central Asia",1991,NA,NA
"174","Botswana","Sub-Saharan Africa",1991,2783.021503,0.588
"175","Brazil","Latin America & Caribbean",1991,3966.795488,0.615
"176","BruneiDarussalam","East Asia & Pacific",1991,13901.72173,0.787
"177","Bulgaria","Europe & Central Asia",1991,1267.734375,0.691
"178","BurkinaFaso","Sub-Saharan Africa",1991,346.4106724,NA
"179","Burundi","Sub-Saharan Africa",1991,210.6438772,0.3
"180","Cambodia","East Asia & Pacific",1991,NA,0.368
"181","Cameroon","Sub-Saharan Africa",1991,1030.979969,0.436
"182","Canada","North America",1991,21664.59864,0.853
"183","CentralAfricanRepublic","Sub-Saharan Africa",1991,456.8977858,0.312
"184","Chad","Sub-Saharan Africa",1991,305.2216778,NA
"185","Chile","Latin America & Caribbean",1991,2811.481588,0.711
"186","China","East Asia & Pacific",1991,333.1421454,0.51
