Source,Target,Export
Russia,China,56079088096
Russia,Netherlands,43598519474
Russia,Germany,34002141235
Russia,Belarus,21562752686
Russia,Turkey,21525038664
Russia,Italy,16394974441
Russia,Poland,16290541875
Russia,USA,12742598542
Russia,Kazakhstan,12738306284
Russia,Japan,12535908254
Russia,Finland,11380249739
Russia,UK,9733618921
Russia,Ukraine,9525095422
Russia,Belgium,9204400953
Russia,France,7785043349
Russia,India,7755180689
Russia,Egypt,7145679210
